Created Date,Complaint Type
2012-12-20,198
2012-12-21,156
2012-12-22,181
2012-12-23,160
2012-12-24,126
2012-12-25,63
2012-12-26,107
2012-12-27,105
2012-12-28,141
2012-12-29,165
2012-12-30,172
2012-12-31,129
2013-01-01,110
2013-01-02,138
2013-01-03,152
2013-01-04,140
2013-01-05,225
2013-01-06,177
2013-01-07,155
2013-01-08,146
2013-01-09,212
2013-01-10,173
2013-01-11,145
2013-01-12,268
2013-01-13,251
2013-01-14,172
2013-01-15,137
2013-01-16,159
2013-01-17,169
2013-01-18,184
2013-01-19,273
2013-01-20,174
2013-01-21,172
2013-01-22,139
2013-01-23,147
2013-01-24,164
2013-01-25,174
2013-01-26,169
2013-01-27,201
2013-01-28,173
2013-01-29,167
2013-01-30,198
2013-01-31,198
2013-02-01,189
2013-02-02,227
2013-02-03,189
2013-02-04,144
2013-02-05,138
2013-02-06,175
2013-02-07,180
2013-02-08,158
2013-02-09,129
2013-02-10,158
2013-02-11,131
2013-02-12,202
2013-02-13,220
2013-02-14,228
2013-02-15,249
2013-02-16,234
2013-02-17,178
2013-02-18,146
2013-02-19,155
2013-02-20,182
2013-02-21,177
2013-02-22,194
2013-02-23,264
2013-02-24,260
2013-02-25,183
2013-02-26,166
2013-02-27,178
2013-02-28,235
2013-03-01,198
2013-03-02,240
2013-03-03,208
2013-03-04,156
2013-03-05,154
2013-03-06,172
2013-03-07,177
2013-03-08,169
2013-03-09,279
2013-03-10,326
2013-03-11,255
2013-03-12,189
2013-03-13,231
2013-03-14,195
2013-03-15,270
2013-03-16,291
2013-03-17,279
2013-03-18,151
2013-03-19,167
2013-03-20,186
2013-03-21,214
2013-03-22,203
2013-03-23,279
2013-03-24,263
2013-03-25,150
2013-03-26,194
2013-03-27,227
2013-03-28,241
2013-03-29,266
2013-03-30,332
2013-03-31,232
2013-04-01,214
2013-04-02,179
2013-04-03,215
2013-04-04,236
2013-04-05,262
2013-04-06,333
2013-04-07,318
2013-04-08,277
2013-04-09,391
2013-04-10,332
2013-04-11,247
2013-04-12,217
2013-04-13,367
2013-04-14,335
2013-04-15,304
2013-04-16,283
2013-04-17,368
2013-04-18,298
2013-04-19,339
2013-04-20,347
2013-04-21,313
2013-04-22,240
2013-04-23,210
2013-04-24,269
2013-04-25,297
2013-04-26,382
2013-04-27,492
2013-04-28,445
2013-04-29,224
2013-04-30,264
2013-05-01,314
2013-05-02,380
2013-05-03,344
2013-05-04,444
2013-05-05,398
2013-05-06,314
2013-05-07,367
2013-05-08,241
2013-05-09,326
2013-05-10,347
2013-05-11,478
2013-05-12,427
2013-05-13,254
2013-05-14,279
2013-05-15,291
2013-05-16,414
2013-05-17,520
2013-05-18,595
2013-05-19,326
2013-05-20,338
2013-05-21,465
2013-05-22,383
2013-05-23,291
2013-05-24,196
2013-05-25,240
2013-05-26,384
2013-05-27,589
2013-05-28,278
2013-05-29,332
2013-05-30,394
2013-05-31,393
2013-06-01,534
2013-06-02,429
2013-06-03,176
2013-06-04,328
2013-06-05,433
2013-06-06,324
2013-06-07,200
2013-06-08,500
